294;;0,27;;;;;;;;;#¡DIV/0!;19,8;105,4;;;;;;274,2;26,2;0,5;;
Peso;Clasificación;GDM;Notas sobre el animal;IDV;IDE;LID;Raza;Sexo;Ubicación;Fecha Ingreso;GDM total;GPV;GPV total;Días;Total de días;PF;Fecha final PR;Fecha final ISE;Peso ant.;GPV ant.;GDM ant,;Fecha;Hora
347;-3 (Alto);0;;OQ152A457;9,82E+14;;;Macho;;23/7/2017;0.41;0;123;73;302;174;;;347;48;0,92;5/2/2018;08:52:59
346;-3 (Alto);0,44;;GH738B349;9,82E+14;;;Macho;;23/7/2017;0.49;32;142;72;290;173;;;314;38;0,73;4/2/2018;10:06:34
346;-3 (Alto);0,7;;SZ208H754;9,82E+14;;;Macho;;21/7/2017;0.64;51;192;73;301;173;;;295;45;0,92;4/2/2018;16:29:20
345;-3 (Alto);4,61;;PO150A483;9,82E+14;;;Macho;;22/7/2017;0.36;332;109;72;300;172;;;13;-285;-5,48;4/2/2018;09:47:59
345;-3 (Alto);0,39;;PO150A478;9,82E+14;;;Macho;;23/7/2017;0.41;28;123;72;299;172;;;317;22;0,42;4/2/2018;16:53:23
345;-3 (Alto);0,1;;PO150A551;9,82E+14;;;Macho;;22/7/2017;0.37;7;111;72;300;172;;;338;23;0,44;4/2/2018;17:46:56
344;-3 (Alto);0,12;;IA671B198;9,82E+14;;;Macho;;24/7/2017;0.35;9;102;73;293;172;;;335;16;0,31;5/2/2018;17:04:01
343;-3 (Alto);0,35;;PO150A744;9,82E+14;;;Macho;;23/7/2017;0.32;25;95;72;299;172;;;318;17;0,33;4/2/2018;16:20:25
343;-3 (Alto);0,6;;IY735C575;9,82E+14;;;Macho;;20/7/2017;0.57;44;175;73;305;172;;;299;44;0,9;4/2/2018;18:20:36
343;-3 (Alto);0,34;;AI101A751;9,82E+14;;;Macho;;21/7/2017;0.53;25;161;74;306;172;;;318;57;1,16;5/2/2018;09:23:50
342;-3 (Alto);0,18;;OH874D825;9,82E+14;;;Macho;;24/7/2017;0.4;13;116;72;292;171;;;329;37;0,71;4/2/2018;10:10:34
342;-3 (Alto);0,49;;GH738B341;9,82E+14;;;Macho;;21/7/2017;0.51;35;148;72;290;171;;;307;28;0,54;4/2/2018;10:40:58
342;-3 (Alto);0,38;;PO150A717;9,82E+14;;;Macho;;23/7/2017;0.36;27;108;72;299;171;;;315;5;0,1;4/2/2018;11:31:46
342;-3 (Alto);0,08;;OE528B859;9,82E+14;;;Macho;;24/7/2017;0.53;6;154;72;292;171;;;336;40;0,77;4/2/2018;17:56:19
342;-3 (Alto);0,03;;PO150A504;9,82E+14;;;Macho;;22/7/2017;0.37;2;112;73;301;171;;;340;11;0,21;5/2/2018;17:29:43
341;-3 (Alto);0,31;;IA671B259;9,82E+14;;;Macho;;24/7/2017;0.42;22;121;72;290;170;;;319;28;0,54;4/2/2018;11:24:27
341;-3 (Alto);0,1;;PO150A657;9,82E+14;;;Macho;;22/7/2017;0.32;7;95;72;300;170;;;334;20;0,38;4/2/2018;11:35:57
341;-3 (Alto);0,4;;PO150A720;9,82E+14;;;Macho;;22/7/2017;0.36;29;109;72;299;170;;;312;2;0,04;4/2/2018;16:10:58
341;-3 (Alto);0,47;;NS509H021;9,82E+14;;;Macho;;22/7/2017;0.34;34;101;72;299;170;;;307;15;0,29;4/2/2018;18:14:57
341;-3 (Alto);0,19;;OH874D826;9,82E+14;;;Macho;;22/7/2017;0.41;14;121;73;293;170;;;327;45;0,87;5/2/2018;16:42:47
341;-3 (Alto);0,12;;IA671B206;9,82E+14;;;Macho;;24/7/2017;0.33;8;97;64;291;170;;;333;25;0,41;5/2/2018;17:28:13
340;-3 (Alto);0,28;;DS289A491;9,82E+14;;;Macho;;24/7/2017;0.45;20;136;72;305;170;;;320;40;0,77;4/2/2018;10:35:51
340;-3 (Alto);0,73;;PO150A494;9,82E+14;;;Macho;;21/7/2017;0.39;53;116;73;300;170;;;287;15;0,29;4/2/2018;11:19:57
340;-3 (Alto);0,33;;PO150A165;9,82E+14;;;Macho;;22/7/2017;0.34;24;102;72;300;170;;;316;18;0,35;4/2/2018;16:14:09
340;-3 (Alto);0,29;;PO150A567;9,82E+14;;;Macho;;22/7/2017;0.32;21;96;72;300;170;;;319;12;0,23;4/2/2018;16:32:53
340;-3 (Alto);0,4;;PO150A578;9,82E+14;;;Macho;;22/7/2017;0.44;29;132;72;300;170;;;311;20;0,38;4/2/2018;16:35:38
339;-3 (Alto);0,26;;IA671B355;9,82E+14;;;Macho;;22/7/2017;0.43;19;125;73;291;170;;;320;34;0,65;5/2/2018;08:13:56
339;-3 (Alto);-0,29;;IA671B212;9,82E+14;;;Macho;;24/7/2017;0.32;-21;93;73;293;170;;;360;33;0,63;5/2/2018;16:58:53
338;-3 (Alto);0,6;;SZ208H905;9,82E+14;;;Macho;;24/7/2017;0.45;43;136;72;301;169;;;295;41;0,79;4/2/2018;10:02:44
338;-3 (Alto);0,36;;TM460A627;9,82E+14;;;Macho;;24/7/2017;0.49;26;148;73;303;169;;;312;45;0,92;4/2/2018;11:42:36
338;-3 (Alto);;;;;;;;;;;;;;;169;;;;;;4/2/2018;17:08:19
338;-3 (Alto);0,44;;QX675H685;9,82E+14;;;Macho;;22/7/2017;0.4;32;120;72;298;169;;;306;18;0,35;4/2/2018;17:19:28
338;-3 (Alto);0,32;;NS509G989;9,82E+14;;;Macho;;23/7/2017;0.23;23;70;73;300;169;;;315;16;0,31;5/2/2018;16:38:34
337;-3 (Alto);0,42;;PO150A809;9,82E+14;;;Macho;;22/7/2017;0.27;30;81;72;299;168;;;307;25;0,48;4/2/2018;10:20:24
337;-3 (Alto);0,36;;PO150A508;9,82E+14;;;Macho;;22/7/2017;0.36;26;109;72;300;168;;;311;19;0,37;4/2/2018;16:24:57
337;-3 (Alto);0,3;;OH874D806;9,82E+14;;;Macho;;22/7/2017;0.34;22;101;73;293;168;;;315;15;0,29;5/2/2018;08:23:10
337;-3 (Alto);0,26;;SZ208H963;9,82E+14;;;Macho;;24/7/2017;0.45;19;135;73;302;168;;;318;4;0,08;5/2/2018;17:07:19
336;-3 (Alto);0,28;;SZ208H992;9,82E+14;;;Macho;;22/7/2017;0.43;20;130;72;301;168;;;316;23;0,44;4/2/2018;10:16:13
336;-3 (Alto);0,58;;PO150A797;9,82E+14;;;Macho;;23/7/2017;0.3;42;90;72;299;168;;;294;10;0,19;4/2/2018;10:25:21
336;-3 (Alto);0,19;;MM429A903;9,82E+14;;;Macho;;22/7/2017;0.3;12;88;63;292;168;;;324;26;0,43;4/2/2018;10:25:44
336;-3 (Alto);0,4;;GE227A628;9,82E+14;;;Macho;;24/7/2017;0.45;29;136;72;303;168;;;307;32;0,62;4/2/2018;11:36:42
336;-3 (Alto);0,28;;OH874D823;9,82E+14;;;Macho;;23/7/2017;0.49;20;142;72;292;168;;;316;51;1,02;4/2/2018;17:24:01
336;-3 (Alto);0,18;;PO150A799;9,82E+14;;;Macho;;22/7/2017;0.37;13;112;73;300;168;;;323;23;0,44;5/2/2018;17:23:15
336;-3 (Alto);-0,05;;PO150A150;9,82E+14;;;Macho;;22/7/2017;0.29;-4;88;73;301;168;;;340;26;0,5;5/2/2018;17:54:32
335;-3 (Alto);0,19;;OH874D832;9,82E+14;;;Macho;;22/7/2017;0.37;14;109;72;292;168;;;321;41;0,79;4/2/2018;11:18:43
335;-3 (Alto);0,06;;SZ208H749;9,82E+14;;;Macho;;24/7/2017;0.51;4;153;72;301;168;;;331;41;0,79;4/2/2018;11:43:14
